Name,Time
ELON MUSK,0:12:52
JEFF BEZOS,0:15:32
SUNDARPICHAI,0:17:21

SUNDAR PICHAI (2),10:42:01
SUNDAR-PICHAI-GOOGLE,10:42:02
SUNDARPICHAI3,10:42:07
SUNDAR-PICHAI,10:42:26
SUNDAR PICHAI1,10:42:49
SUNDAR--PICHAI,10:43:04
ELON MUSK (6),10:43:53
ELON MUSK (4),10:43:54
ELON-MUSK,10:43:56
JEFFBEZOS,10:44:04
JEFFERY BEZOS (2),10:44:06
JEFF,10:45:33
SUNDARPICHAI2,11:12:49
SUNDAR PICHAI,11:19:35
ELON MUSK (2),11:26:22
ELON-MUSK (2),11:26:30
SUNDAR-PICHAI4,15:43:08
ELONMUSK,15:43:40
SUNDAR PICHAI (2) 42.41%,00:35:23
SUNDAR PICHAI (2) 40.97%,00:35:24
SUNDAR PICHAI (2) 40.68%,00:35:26
SUNDAR PICHAI (2) 42.99%,00:35:27
SUNDAR PICHAI (2) 44.57%,00:35:28
SUNDAR PICHAI (2) 45.43%,00:35:29
SUNDAR-PICHAI-GOOGLE 41.76%,00:35:31
SUNDAR PICHAI (2) 41.88%,00:35:32
SUNDAR PICHAI (2) 40.84%,00:35:33
SUNDAR PICHAI (2) 41.11%,00:35:34
SUNDAR-PICHAI-GOOGLE 46.09%,00:35:35
SUNDAR PICHAI (2) 40.14%,00:35:36
